"model","ens","year","tx5d","tx5d_ano","gmst_ano"
"CanESM5","r10i1p1f1",1850,295.023345947266,4.07233886718751,-0.913833618164062
"CanESM5","r10i1p1f1",1851,293.46533203125,2.51432495117189,-0.914199829101562
"CanESM5","r10i1p1f1",1852,293.233551025391,2.28254394531251,-0.915328979492188
"CanESM5","r10i1p1f1",1853,294.134490966797,3.18348388671876,-0.916885375976562
"CanESM5","r10i1p1f1",1854,292.335205078125,1.38419799804689,-0.918289184570312
"CanESM5","r10i1p1f1",1855,292.328247070312,1.37723999023439,-0.920547485351562
"CanESM5","r10i1p1f1",1856,295.836761474609,4.88575439453126,-0.922378540039062
"CanESM5","r10i1p1f1",1857,296.376037597656,5.42503051757814,-0.924057006835938
"CanESM5","r10i1p1f1",1858,295.058044433594,4.10703735351564,-0.928848266601562
"CanESM5","r10i1p1f1",1859,295.606414794922,4.65540771484376,-0.934677124023438
"CanESM5","r10i1p1f1",1860,296.108093261719,5.15708618164064,-0.940292358398438
"CanESM5","r10i1p1f1",1861,296.810791015625,5.85978393554689,-0.944381713867188
"CanESM5","r10i1p1f1",1862,296.324035644531,5.37302856445314,-0.944473266601562
"CanESM5","r10i1p1f1",1863,294.585693359375,3.63468627929689,-0.943191528320312
"CanESM5","r10i1p1f1",1864,292.500762939453,1.54975585937501,-0.941390991210938
"CanESM5","r10i1p1f1",1865,294.796875,3.84586791992189,-0.936782836914062
"CanESM5","r10i1p1f1",1866,293.709045410156,2.75803833007814,-0.931411743164062
"CanESM5","r10i1p1f1",1867,293.392303466797,2.44129638671876,-0.926345825195312
"CanESM5","r10i1p1f1",1868,293.519195556641,2.56818847656251,-0.917922973632812
"CanESM5","r10i1p1f1",1869,295.102020263672,4.15101318359376,-0.907638549804688
"CanESM5","r10i1p1f1",1870,294.913269042969,3.96226196289064,-0.899124145507812
"CanESM5","r10i1p1f1",1871,295.943237304688,4.99223022460939,-0.891067504882812
"CanESM5","r10i1p1f1",1872,295.232025146484,4.28101806640626,-0.883193969726562
"CanESM5","r10i1p1f1",1873,293.007568359375,2.05656127929689,-0.876693725585938
"CanESM5","r10i1p1f1",1874,294.013031005859,3.06202392578126,-0.870925903320312
"CanESM5","r10i1p1f1",1875,294.007507324219,3.05650024414064,-0.864669799804688
"CanESM5","r10i1p1f1",1876,293.93798828125,2.98698120117189,-0.858352661132812
"CanESM5","r10i1p1f1",1877,295.406677246094,4.45567016601564,-0.853622436523438
"CanESM5","r10i1p1f1",1878,295.196655273438,4.24564819335939,-0.850448608398438
"CanESM5","r10i1p1f1",1879,294.398132324219,3.44712524414064,-0.846878051757812
"CanESM5","r10i1p1f1",1880,296.097320556641,5.14631347656251,-0.851791381835938
"CanESM5","r10i1p1f1",1881,292.758666992188,1.80765991210939,-0.862442016601562
"CanESM5","r10i1p1f1",1882,295.184753417969,4.23374633789064,-0.873123168945312
"CanESM5","r10i1p1f1",1883,293.511901855469,2.56089477539064,-0.889358520507812
"CanESM5","r10i1p1f1",1884,295.286041259766,4.33503417968751,-0.908370971679688
"CanESM5","r10i1p1f1",1885,295.069641113281,4.11863403320314,-0.923385620117188
"CanESM5","r10i1p1f1",1886,294.535095214844,3.58408813476564,-0.937301635742188
"CanESM5","r10i1p1f1",1887,293.834899902344,2.88389282226564,-0.956771850585938
"CanESM5","r10i1p1f1",1888,294.539672851562,3.58866577148439,-0.974594116210938
"CanESM5","r10i1p1f1",1889,294.845123291016,3.89411621093751,-0.981948852539062
"CanESM5","r10i1p1f1",1890,293.632354736328,2.68134765625001,-0.985183715820312
"CanESM5","r10i1p1f1",1891,296.097717285156,5.14671020507814,-0.982589721679688
"CanESM5","r10i1p1f1",1892,295.727111816406,4.77610473632814,-0.970413208007812
"CanESM5","r10i1p1f1",1893,295.271392822266,4.32038574218751,-0.958419799804688
"CanESM5","r10i1p1f1",1894,297.688079833984,6.73707275390626,-0.946243286132812
"CanESM5","r10i1p1f1",1895,298.31591796875,7.36491088867189,-0.935714721679688
"CanESM5","r10i1p1f1",1896,296.105895996094,5.15488891601564,-0.927780151367188
"CanESM5","r10i1p1f1",1897,294.429321289062,3.47831420898439,-0.920639038085938
"CanESM5","r10i1p1f1",1898,295.928771972656,4.97776489257814,-0.916397094726562
"CanESM5","r10i1p1f1",1899,293.571380615234,2.62037353515626,-0.917068481445312
"CanESM5","r10i1p1f1",1900,293.837524414062,2.88651733398439,-0.920791625976562
"CanESM5","r10i1p1f1",1901,295.394287109375,4.44328002929689,-0.922378540039062
"CanESM5","r10i1p1f1",1902,295.219390869141,4.26838378906251,-0.924240112304688
"CanESM5","r10i1p1f1",1903,295.318084716797,4.36707763671876,-0.927108764648438
"CanESM5","r10i1p1f1",1904,296.135559082031,5.18455200195314,-0.926803588867188
"CanESM5","r10i1p1f1",1905,296.392974853516,5.44196777343751,-0.925460815429688
"CanESM5","r10i1p1f1",1906,295.97021484375,5.01920776367189,-0.927627563476562
"CanESM5","r10i1p1f1",1907,294.230895996094,3.27988891601564,-0.928176879882812
"CanESM5","r10i1p1f1",1908,295.253448486328,4.30244140625001,-0.925094604492188
"CanESM5","r10i1p1f1",1909,293.093719482422,2.14271240234376,-0.923294067382812
"CanESM5","r10i1p1f1",1910,293.522583007812,2.57157592773439,-0.921279907226562
"CanESM5","r10i1p1f1",1911,294.832580566406,3.88157348632814,-0.915237426757812
"CanESM5","r10i1p1f1",1912,295.534912109375,4.58390502929689,-0.909072875976562
"CanESM5","r10i1p1f1",1913,295.587890625,4.63688354492189,-0.904281616210938
"CanESM5","r10i1p1f1",1914,295.413604736328,4.46259765625001,-0.896438598632812
"CanESM5","r10i1p1f1",1915,294.717071533203,3.76606445312501,-0.886520385742188
"CanESM5","r10i1p1f1",1916,295.198852539062,4.24784545898439,-0.877456665039062
"CanESM5","r10i1p1f1",1917,292.909423828125,1.95841674804689,-0.865249633789062
"CanESM5","r10i1p1f1",1918,292.232879638672,1.28187255859376,-0.849197387695312
"CanESM5","r10i1p1f1",1919,294.298950195312,3.34794311523439,-0.833938598632812
"CanESM5","r10i1p1f1",1920,294.103240966797,3.15223388671876,-0.818161010742188
"CanESM5","r10i1p1f1",1921,295.175811767578,4.22480468750001,-0.803176879882812
"CanESM5","r10i1p1f1",1922,295.636413574219,4.68540649414064,-0.790603637695312
"CanESM5","r10i1p1f1",1923,293.602386474609,2.65137939453126,-0.779922485351562
"CanESM5","r10i1p1f1",1924,293.433471679688,2.48246459960939,-0.771408081054688
"CanESM5","r10i1p1f1",1925,293.079559326172,2.12855224609376,-0.765274047851562
"CanESM5","r10i1p1f1",1926,294.975006103516,4.02399902343751,-0.759689331054688
"CanESM5","r10i1p1f1",1927,295.282196044922,4.33118896484376,-0.754989624023438
"CanESM5","r10i1p1f1",1928,296.371398925781,5.42039184570314,-0.751968383789062
"CanESM5","r10i1p1f1",1929,298.0576171875,7.10661010742189,-0.749313354492188
"CanESM5","r10i1p1f1",1930,292.709930419922,1.75892333984376,-0.747146606445312
"CanESM5","r10i1p1f1",1931,294.993621826172,4.04261474609376,-0.744369506835938
"CanESM5","r10i1p1f1",1932,294.94677734375,3.99577026367189,-0.740676879882812
"CanESM5","r10i1p1f1",1933,295.498809814453,4.54780273437501,-0.734817504882812
"CanESM5","r10i1p1f1",1934,296.208801269531,5.25779418945314,-0.725967407226562
"CanESM5","r10i1p1f1",1935,297.958801269531,7.00779418945314,-0.716018676757812
"CanESM5","r10i1p1f1",1936,292.753723144531,1.80271606445314,-0.707138061523438
"CanESM5","r10i1p1f1",1937,295.230102539062,4.27909545898439,-0.699050903320312
"CanESM5","r10i1p1f1",1938,294.560150146484,3.60914306640626,-0.689620971679688
"CanESM5","r10i1p1f1",1939,295.977416992188,5.02640991210939,-0.679885864257812
"CanESM5","r10i1p1f1",1940,292.667755126953,1.71674804687501,-0.671554565429688
"CanESM5","r10i1p1f1",1941,294.243133544922,3.29212646484376,-0.663742065429688
"CanESM5","r10i1p1f1",1942,295.620208740234,4.66920166015626,-0.654006958007812
"CanESM5","r10i1p1f1",1943,294.449249267578,3.49824218750001,-0.645462036132812
"CanESM5","r10i1p1f1",1944,293.444458007812,2.49345092773439,-0.639724731445312
"CanESM5","r10i1p1f1",1945,294.030151367188,3.07914428710939,-0.633590698242188
"CanESM5","r10i1p1f1",1946,296.512512207031,5.56150512695314,-0.627243041992188
"CanESM5","r10i1p1f1",1947,296.002288818359,5.05128173828126,-0.623794555664062
"CanESM5","r10i1p1f1",1948,293.528259277344,2.57725219726564,-0.621109008789062
"CanESM5","r10i1p1f1",1949,293.382690429688,2.43168334960939,-0.616897583007812
"CanESM5","r10i1p1f1",1950,294.102020263672,3.15101318359376,-0.613998413085938
"CanESM5","r10i1p1f1",1951,293.890869140625,2.93986206054689,-0.612625122070312
"CanESM5","r10i1p1f1",1952,297.41357421875,6.46256713867189,-0.609634399414062
"CanESM5","r10i1p1f1",1953,294.873657226562,3.92265014648439,-0.606674194335938
"CanESM5","r10i1p1f1",1954,293.128082275391,2.17707519531251,-0.606460571289062
"CanESM5","r10i1p1f1",1955,296.467468261719,5.51646118164064,-0.606460571289062
"CanESM5","r10i1p1f1",1956,296.924285888672,5.97327880859376,-0.605850219726562
"CanESM5","r10i1p1f1",1957,296.385833740234,5.43482666015626,-0.608779907226562
"CanESM5","r10i1p1f1",1958,296.271636962891,5.32062988281251,-0.613388061523438
