"model","ens","year","tx5d","tx5d_ano","gmst_ano"
"GFDLESM2","r01",1861,290.042236328125,0.530010354929971,-0.808682464174751
"GFDLESM2","r01",1862,289.81396484375,0.301738870554971,-0.806033137615373
"GFDLESM2","r01",1863,290.005950927734,0.493724954539346,-0.803409373239731
"GFDLESM2","r01",1864,289.585174560547,0.0729485873518456,-0.80080873499054
"GFDLESM2","r01",1865,289.674652099609,0.162426126414346,-0.798228786810455
"GFDLESM2","r01",1866,290.643737792969,1.13151181977372,-0.795667092642589
"GFDLESM2","r01",1867,290.295532226562,0.783306253367471,-0.793121216429654
"GFDLESM2","r01",1868,289.74609375,0.233867776804971,-0.790588722114478
"GFDLESM2","r01",1869,289.939208984375,0.426983011179971,-0.788067173639661
"GFDLESM2","r01",1870,290.413696289062,0.901470315867471,-0.78555413494837
"GFDLESM2","r01",1871,289.799011230469,0.286785257273721,-0.783047169983206
"GFDLESM2","r01",1872,290.071014404297,0.558788431101846,-0.780543842686996
"GFDLESM2","r01",1873,290.320861816406,0.808635843211221,-0.778041717002566
"GFDLESM2","r01",1874,289.4169921875,-0.0952337856950294,-0.775538356872801
"GFDLESM2","r01",1875,290.263946533203,0.751720560008096,-0.773031326240528
"GFDLESM2","r01",1876,290.8291015625,1.31687558930497,-0.770518189048516
"GFDLESM2","r01",1877,289.226776123047,-0.285449850148154,-0.767996509239424
"GFDLESM2","r01",1878,289.695556640625,0.183330667429971,-0.765463850756305
"GFDLESM2","r01",1879,289.631866455078,0.119640481883096,-0.762917777541873
"GFDLESM2","r01",1880,290.955780029297,1.44355405610185,-0.760355853539011
"GFDLESM2","r01",1881,290.252410888672,0.740184915476846,-0.75777564269049
"GFDLESM2","r01",1882,291.273254394531,1.76102842133622,-0.755174708939023
"GFDLESM2","r01",1883,290.198699951172,0.686473977976846,-0.752550616227552
"GFDLESM2","r01",1884,289.633270263672,0.121044290476846,-0.749900928498903
"GFDLESM2","r01",1885,289.683929443359,0.171703470164346,-0.747223209695846
"GFDLESM2","r01",1886,290.634246826172,1.12202085297685,-0.74451502376121
"GFDLESM2","r01",1887,290.960815429688,1.44858945649247,-0.74177393463782
"GFDLESM2","r01",1888,290.012298583984,0.500072610789346,-0.738997506268504
"GFDLESM2","r01",1889,289.805786132812,0.293560159617471,-0.736183302595975
"GFDLESM2","r01",1890,289.023315429688,-0.488910543507529,-0.733328887563175
"GFDLESM2","r01",1891,289.429473876953,-0.0827520962419044,-0.730473149207057
"GFDLESM2","r01",1892,290.610870361328,1.0986443881331,-0.72765415050776
"GFDLESM2","r01",1893,290.016357421875,0.504131448679971,-0.724868217822973
"GFDLESM2","r01",1894,289.553588867188,0.0413628939924706,-0.722111677510043
"GFDLESM2","r01",1895,290.892395019531,1.38016904633622,-0.719380855926829
"GFDLESM2","r01",1896,291.348388671875,1.83616269867997,-0.716672079430737
"GFDLESM2","r01",1897,290.874450683594,1.36222471039872,-0.713981674379397
"GFDLESM2","r01",1898,290.461517333984,0.949291360789346,-0.711305967130329
"GFDLESM2","r01",1899,290.459777832031,0.947551858836221,-0.708641284041335
"GFDLESM2","r01",1900,289.993103027344,0.480877054148721,-0.705983951469648
"GFDLESM2","r01",1901,289.968475341797,0.456249368601846,-0.703330295773071
"GFDLESM2","r01",1902,290.002380371094,0.490154397898721,-0.700676643309066
"GFDLESM2","r01",1903,289.982543945312,0.470317972117471,-0.698019320435321
"GFDLESM2","r01",1904,290.429077148438,0.916851175242471,-0.695354653509355
"GFDLESM2","r01",1905,290.513244628906,1.00101865571122,-0.692678968888799
"GFDLESM2","r01",1906,289.94189453125,0.429668558054971,-0.689988592931172
"GFDLESM2","r01",1907,290.348876953125,0.836650979929971,-0.687279851993992
"GFDLESM2","r01",1908,290.109161376953,0.596935403758096,-0.684549072434891
"GFDLESM2","r01",1909,289.545867919922,0.0336419467268456,-0.681792580611557
"GFDLESM2","r01",1910,290.784423828125,1.27219785492997,-0.679006702881509
"GFDLESM2","r01",1911,290.596618652344,1.08439267914872,-0.676187765602208
"GFDLESM2","r01",1912,289.521209716797,0.00898374360184562,-0.673332095131343
"GFDLESM2","r01",1913,290.047546386719,0.535320413523721,-0.670436017826489
"GFDLESM2","r01",1914,290.038726806641,0.526500833445596,-0.667495860045108
"GFDLESM2","r01",1915,290.441467285156,0.929241311961221,-0.664507948144944
"GFDLESM2","r01",1916,290.798919677734,1.28669370453935,-0.661468608483517
"GFDLESM2","r01",1917,290.714141845703,1.2019158725081,-0.658374167418401
"GFDLESM2","r01",1918,290.623199462891,1.1109734896956,-0.655220951307115
"GFDLESM2","r01",1919,290.276641845703,0.764415872508096,-0.65200528650729
"GFDLESM2","r01",1920,290.332550048828,0.820324075633096,-0.648723499376501
"GFDLESM2","r01",1921,290.399139404297,0.886913431101846,-0.645388639738997
"GFDLESM2","r01",1922,290.526245117188,1.01401914399247,-0.642013997363506
"GFDLESM2","r01",1923,290.333435058594,0.821209085398721,-0.63859625852416
"GFDLESM2","r01",1924,290.255096435547,0.742870462351846,-0.635132109495089
"GFDLESM2","r01",1925,289.946136474609,0.433910501414346,-0.63161823655048
"GFDLESM2","r01",1926,291.280151367188,1.76792539399247,-0.628051325964577
"GFDLESM2","r01",1927,288.885589599609,-0.626636373585654,-0.624428064011454
"GFDLESM2","r01",1928,289.248199462891,-0.264026510304404,-0.62074513696524
"GFDLESM2","r01",1929,290.224761962891,0.712535989695596,-0.616999231100351
"GFDLESM2","r01",1930,290.700347900391,1.1881219271956,-0.613187032690632
"GFDLESM2","r01",1931,290.639739990234,1.12751401703935,-0.609305228010442
"GFDLESM2","r01",1932,291.269622802734,1.75739682953935,-0.605350503333909
"GFDLESM2","r01",1933,290.180511474609,0.668285501414346,-0.601319544935222
"GFDLESM2","r01",1934,290.439178466797,0.926952493601846,-0.597209039088511
"GFDLESM2","r01",1935,291.56201171875,2.04978574555497,-0.593015672067907
"GFDLESM2","r01",1936,289.490966796875,-0.0212591763200294,-0.588736130147709
"GFDLESM2","r01",1937,290.056884765625,0.544658792429971,-0.584367099601991
"GFDLESM2","r01",1938,291.141021728516,1.6287957553206,-0.579905266704941
"GFDLESM2","r01",1939,290.747955322266,1.2357293490706,-0.575347317730689
"GFDLESM2","r01",1940,290.201232910156,0.689006936961221,-0.570689938953535
"GFDLESM2","r01",1941,289.749572753906,0.237346780711221,-0.56592981664744
"GFDLESM2","r01",1942,289.244476318359,-0.267749654835654,-0.561063637086761
"GFDLESM2","r01",1943,289.786987304688,0.274761331492471,-0.556088086545572
"GFDLESM2","r01",1944,290.635467529297,1.12324155610185,-0.550999851298059
"GFDLESM2","r01",1945,290.071746826172,0.559520852976846,-0.545795617618353
"GFDLESM2","r01",1946,290.144470214844,0.632244241648721,-0.540472071780641
"GFDLESM2","r01",1947,290.217193603516,0.704967630320596,-0.535025900059225
"GFDLESM2","r01",1948,289.047027587891,-0.465198385304404,-0.529453788728063
"GFDLESM2","r01",1949,290.081634521484,0.569408548289346,-0.523752424061456
"GFDLESM2","r01",1950,290.320892333984,0.808666360789346,-0.517918492333536
"GFDLESM2","r01",1951,291.444793701172,1.93256772797685,-0.511825027350824
"GFDLESM2","r01",1952,290.325622558594,0.813396585398721,-0.505355515209828
"GFDLESM2","r01",1953,290.3603515625,0.848125589304971,-0.498522320620054
"GFDLESM2","r01",1954,290.760375976562,1.24815000336747,-0.491337808290666
"GFDLESM2","r01",1955,289.869781494141,0.357555520945596,-0.483814342931112
"GFDLESM2","r01",1956,289.548889160156,0.0366631869612206,-0.475964289250612
"GFDLESM2","r01",1957,290.9541015625,1.44187558930497,-0.467800011958559
"GFDLESM2","r01",1958,290.369415283203,0.857189310008096,-0.459333875764173
"GFDLESM2","r01",1959,289.877838134766,0.365612161570596,-0.450578245377073
"GFDLESM2","r01",1960,289.847290039062,0.335064065867471,-0.441545485506253
"GFDLESM2","r01",1961,290.161102294922,0.648876321726846,-0.432247960861162
"GFDLESM2","r01",1962,288.949798583984,-0.562427389210654,-0.422698036151075
"GFDLESM2","r01",1963,290.961639404297,1.44941343110185,-0.4129080760855
"GFDLESM2","r01",1964,290.139892578125,0.627666604929971,-0.4028904453736
"GFDLESM2","r01",1965,289.915740966797,0.403514993601846,-0.39265750872471
"GFDLESM2","r01",1966,290.449035644531,0.936809671336221,-0.382221630848164
"GFDLESM2","r01",1967,291.265228271484,1.75300229828935,-0.371595176453411
"GFDLESM2","r01",1968,291.005432128906,1.49320615571122,-0.360790510249558
"GFDLESM2","r01",1969,289.427795410156,-0.0844305630387794,-0.349819996946053
"GFDLESM2","r01",1970,290.689849853516,1.1776238803206,-0.338696001252288
"GFDLESM2","r01",1971,290.635559082031,1.12333310883622,-0.327430887877483
"GFDLESM2","r01",1972,290.80908203125,1.29685605805497,-0.316037021530974
"GFDLESM2","r01",1973,290.338958740234,0.826732767039346,-0.304526766922095
"GFDLESM2","r01",1974,290.857727050781,1.34550107758622,-0.292912488760237
"GFDLESM2","r01",1975,289.449523925781,-0.0627020474137794,-0.281206551754678
"GFDLESM2","r01",1976,290.932189941406,1.41996396821122,-0.269421320614754
"GFDLESM2","r01",1977,289.773101806641,0.260875833445596,-0.257569160049741
